Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-03-18;Vatican;1;0;0;0.00;0.00;100.00
2020-03-18;St-Vincent / Grenadines;1;0;0;0.00;0.00;100.00
2020-03-18;Ouzbékistan;15;0;0;0.00;0.00;100.00
2020-03-18;Uruguay;50;0;0;0.00;0.00;100.00
2020-03-18;Ukraine;14;2;0;14.29;0.00;85.71
2020-03-18;États-Unis;7786;118;106;1.52;1.36;97.12
2020-03-18;Taïwan;100;1;22;1.00;22.00;77.00
2020-03-18;Tanzanie;3;0;0;0.00;0.00;100.00
2020-03-18;Trinité-et-Tobago;7;0;0;0.00;0.00;100.00
2020-03-18;Turquie;98;1;0;1.02;0.00;98.98
2020-03-18;Tunisie;29;0;0;0.00;0.00;100.00
2020-03-18;Thaïlande;212;1;42;0.47;19.81;79.72
2020-03-18;Togo;1;0;0;0.00;0.00;100.00
2020-03-18;Somalie;1;0;0;0.00;0.00;100.00
2020-03-18;Suriname;1;0;0;0.00;0.00;100.00
2020-03-18;Eswatini;1;0;0;0.00;0.00;100.00
2020-03-18;Sénégal;31;0;2;0.00;6.45;93.55
2020-03-18;Saint-Marin;119;11;4;9.24;3.36;87.39
2020-03-18;Slovénie;275;1;0;0.36;0.00;99.64
2020-03-18;Slovaquie;105;1;0;0.95;0.00;99.05
2020-03-18;Singapour;313;0;114;0.00;36.42;63.58
2020-03-18;Suède;1279;10;1;0.78;0.08;99.14
2020-03-18;Seychelles;4;0;0;0.00;0.00;100.00
2020-03-18;Soudan;2;1;0;50.00;0.00;50.00
2020-03-18;Rwanda;8;0;0;0.00;0.00;100.00
2020-03-18;Arabie Saoudite;171;0;6;0.00;3.51;96.49
2020-03-18;Serbie;83;0;1;0.00;1.20;98.80
2020-03-18;Fédération de Russie;147;0;8;0.00;5.44;94.56
2020-03-18;Réunion;12;0;0;0.00;0.00;100.00
2020-03-18;Roumanie;260;0;19;0.00;7.31;92.69
2020-03-18;Paraguay;11;0;0;0.00;0.00;100.00
2020-03-18;Qatar;452;0;4;0.00;0.88;99.12
2020-03-18;Portugal;448;2;3;0.45;0.67;98.88
2020-03-18;Pologne;251;5;13;1.99;5.18;92.83
2020-03-18;Porto Rico;0;0;0;0.00;0.00;0.00
2020-03-18;Philippines;202;19;5;9.41;2.48;88.12
2020-03-18;Pakistan;299;0;2;0.00;0.67;99.33
2020-03-18;Pérou;145;0;1;0.00;0.69;99.31
2020-03-18;Panama;86;1;0;1.16;0.00;98.84
2020-03-18;Oman;39;0;12;0.00;30.77;69.23
2020-03-18;Nouvelle-Zélande;20;0;0;0.00;0.00;100.00
2020-03-18;Népal;1;0;1;0.00;100.00;0.00
2020-03-18;Norvège;1550;6;1;0.39;0.06;99.55
2020-03-18;Pays-Bas;2056;58;2;2.82;0.10;97.08
2020-03-18;Nigéria;8;0;1;0.00;12.50;87.50
2020-03-18;Namibie;2;0;0;0.00;0.00;100.00
2020-03-18;Mexique;93;0;4;0.00;4.30;95.70
2020-03-18;Malaisie;790;2;60;0.25;7.59;92.15
2020-03-18;Maldives;13;0;0;0.00;0.00;100.00
2020-03-18;Malte;38;0;2;0.00;5.26;94.74
2020-03-18;Maurice;3;0;0;0.00;0.00;100.00
2020-03-18;Martinique;19;1;0;5.26;0.00;94.74
2020-03-18;Mauritanie;1;0;0;0.00;0.00;100.00
2020-03-18;Mongolie;6;0;0;0.00;0.00;100.00
2020-03-18;Macao;15;0;10;0.00;66.67;33.33
2020-03-18;Macédoine;35;0;1;0.00;2.86;97.14
2020-03-18;Saint Martin;3;0;0;0.00;0.00;100.00
2020-03-18;Moldavie;30;1;1;3.33;3.33;93.33
2020-03-18;Monaco;7;0;0;0.00;0.00;100.00
2020-03-18;Maroc;49;2;1;4.08;2.04;93.88
2020-03-18;Lettonie;71;0;1;0.00;1.41;98.59
2020-03-18;Luxembourg;203;2;0;0.99;0.00;99.01
2020-03-18;Lituanie;27;0;1;0.00;3.70;96.30
2020-03-18;Sri Lanka;51;0;1;0.00;1.96;98.04
2020-03-18;Libéria;2;0;0;0.00;0.00;100.00
2020-03-18;Sainte-Lucie;2;0;0;0.00;0.00;100.00
2020-03-18;Liechtenstein;28;0;0;0.00;0.00;100.00
2020-03-18;Kazakhstan;35;0;0;0.00;0.00;100.00
2020-03-18;Liban;133;3;3;2.26;2.26;95.49
2020-03-18;Corée du Sud;8413;84;1540;1.00;18.31;80.70
2020-03-18;Koweït;142;0;15;0.00;10.56;89.44
2020-03-18;Kenya;3;0;0;0.00;0.00;100.00
2020-03-18;Kirghizistan;3;0;0;0.00;0.00;100.00
2020-03-18;Cambodge;35;0;1;0.00;2.86;97.14
2020-03-18;Japon;889;29;144;3.26;16.20;80.54
2020-03-18;Jordanie;52;0;1;0.00;1.92;98.08
2020-03-18;Jersey;0;0;0;0.00;0.00;0.00
2020-03-18;Jamaïque;13;0;2;0.00;15.38;84.62
2020-03-18;Italie;35713;2978;4025;8.34;11.27;80.39
2020-03-18;Islande;250;1;5;0.40;2.00;97.60
2020-03-18;Iran;17361;1135;5389;6.54;31.04;62.42
2020-03-18;Iraq;164;12;43;7.32;26.22;66.46
2020-03-18;Inde;156;3;14;1.92;8.97;89.10
2020-03-18;Israël;433;0;11;0.00;2.54;97.46
2020-03-18;Irlande;292;2;5;0.68;1.71;97.60
2020-03-18;Indonésie;227;19;11;8.37;4.85;86.78
2020-03-18;Hongrie;58;1;2;1.72;3.45;94.83
2020-03-18;Croatie;81;0;4;0.00;4.94;95.06
2020-03-18;Honduras;9;0;0;0.00;0.00;100.00
2020-03-18;Hong-Kong;181;4;92;2.21;50.83;46.96
2020-03-18;Guyana;7;1;0;14.29;0.00;85.71
2020-03-18;Guam;0;0;0;0.00;0.00;0.00
2020-03-18;Guatemala;6;1;0;16.67;0.00;83.33
2020-03-18;Grèce;418;5;8;1.20;1.91;96.89
2020-03-18;Guinée Équatoriale;4;0;0;0.00;0.00;100.00
2020-03-18;Guadeloupe;27;0;0;0.00;0.00;100.00
2020-03-18;Guinée;1;0;0;0.00;0.00;100.00
2020-03-18;Groenland;1;0;0;0.00;0.00;100.00
2020-03-18;Gibraltar;8;0;2;0.00;25.00;75.00
2020-03-18;Ghana;7;0;0;0.00;0.00;100.00
2020-03-18;Guyane Française;11;0;0;0.00;0.00;100.00
2020-03-18;Guernsey;0;0;0;0.00;0.00;0.00
2020-03-18;Géorgie;38;0;1;0.00;2.63;97.37
2020-03-18;Royaume-Uni;2634;72;65;2.73;2.47;94.80
2020-03-18;France;9134;264;12;1.64;0.13;98.23
2020-03-18;Gabon;1;0;0;0.00;0.00;100.00
2020-03-18;Îles Féroé;58;0;0;0.00;0.00;100.00
2020-03-18;Éthiopie;6;0;0;0.00;0.00;100.00
